Image,CentOS,,Ubuntu,,Debian
,Binary,Source,Binary,Source,Binary,Source
almanach (deprecated),N,C,N,C,N,C
aodh,C,C,C,C,N,C
barbican,C,C,C,C,N,C
bifrost,N,C,N,N,N,N
blazar,N,C,N,C,N,C
ceilometer,C,C,C,C,N,C
ceph,C,C,C,C,N,C
certmonger,C,C,C,C,N,C
chrony,C,C,C,C,N,C
cinder,C,C,C,C,N,C
cloudkitty,C,C,N,C,N,C
collectd,C,C,C,C,N,C
congress,C,C,N,C,N,C
cron,C,C,C,C,N,C
cyborg,N,N,N,N,N,N
designate,C,C,C,C,N,C
dind (deprecated),C,C,C,C,N,C
dnsmasq,C,C,C,C,N,C
dragonflow (deprecated),N,C,N,C,N,C
ec2-api,C,C,C,C,N,C
elasticsearch (5),N,N,C,C,N,C
elasticsearch (6),N,N,N,N,N,N
etcd,C,C,C,C,N,C
fluentd,C,C,C,C,N,C
freezer,N,C,N,C,N,C
glance,C,C,C,C,N,C
gnocchi,C,C,C,C,N,C
grafana,C,C,C,C,N,C
hacluster,N,N,C,C,N,C
haproxy,C,C,C,C,N,C
heat,C,C,C,C,N,C
helm-repository (deprecated),N,N,N,N,N,N
horizon,C,C,C,C,N,C
influxdb,N,N,C,C,N,C
ironic,C,C,C,C,N,C
ironic-neutron-agent,N,N,N,N,N,N
ironic-inspector,N,N,N,N,N,N
iscsid,C,C,C,C,N,C
kafka,C,C,C,C,N,C
karbor,N,C,N,C,N,C
keepalived,C,C,C,C,N,C
keystone,C,C,C,C,N,C
kibana (5),N,N,N,N,N,N
kibana (6),N,N,N,N,N,N
kolla-toolbox,C,C,C,C,N,C
kube (deprecated),C,C,C,C,N,C
kubernetes-entrypoint (deprecated),C,C,C,C,N,C
kubetoolbox (deprecated),C,C,C,C,N,C
kuryr,N,C,N,C,N,C
logstash (2),C,C,C,C,N,C
logstash (6),N,N,N,N,N,N
magnum,C,C,C,C,N,C
manila,C,C,C,C,N,C
mariadb,C,C,C,C,N,C
masakari,N,C,N,C,N,C
memcached,C,C,C,C,N,C
mistral,C,C,C,C,N,C
monasca,N,N,N,N,N,N
mongodb,N,N,C,C,N,N
multipathd,C,C,C,C,N,C
murano,C,C,C,C,N,C
neutron,C,C,C,C,N,C
nova,C,C,C,C,N,C
nova-spicehtml5proxy,N,N,C,C,N,C
novajoin,C,C,N,C,N,C
octavia,C,C,N,C,N,C
opendaylight,N,N,N,N,N,N
openvswitch,C,C,C,C,N,C
ovn,C,C,C,C,N,C
ovsdpdk,N,N,C,C,N,N
panko,C,C,C,C,N,C
placement,C,C,N,C,N,C
prometheus,C,C,C,C,N,C
ptp,C,C,C,C,N,C
qdrouterd,C,C,C,C,N,N
qinling,N,C,N,C,N,C
rabbitmq,C,C,C,C,N,C
radvd,C,C,C,C,N,C
rally,C,C,N,C,N,C
redis,C,C,C,C,N,C
rsyslog,C,C,C,C,N,C
sahara,C,C,C,C,N,C
searchlight,N,C,N,C,N,C
senlin,C,C,C,C,N,C
sensu,C,C,N,N,N,N
skydive,C,C,N,N,N,N
solum,N,C,N,C,N,C
storm,C,C,C,C,N,C
swift,C,C,C,C,N,C
tacker,C,C,N,C,N,C
telegraf,N,N,N,N,N,N
tempest,C,N,C,N,N,N
tgtd,C,C,C,C,N,C
tripleoclient,N,N,N,N,N,N
trove,C,C,N,C,N,C
vitrage,C,C,N,C,N,C
vmtp,N,C,N,C,N,C
watcher,C,C,C,C,N,C
zaqar,C,C,C,C,N,C
zookeeper,C,C,C,C,N,C
zun,N,C,N,C,N,C
